t,Cb,x
102.25,1.57256169,0.1
102.5,1.423970606,0.1
102.75,1.728049393,0.1
103,1.692978561,0.1
103.25,1.398668285,0.1
103.5,1.559737193,0.1
103.75,1.600288731,0.1
104,1.442809308,0.1
104.25,1.686721461,0.1
104.5,1.434346462,0.1
104.75,1.692324975,0.1
105,1.35226827,0.1
105.25,1.452270335,0.1
105.5,1.439937119,0.1
105.75,1.515116275,0.1
106,1.314059485,0.1
106.25,1.615024153,0.1
106.5,1.7481026,0.1
106.75,1.548955331,0.1
107,1.47816413,0.1
107.25,1.523660854,0.1
107.5,1.575703937,0.1
107.75,1.549291565,0.1
108,1.416177954,0.1
108.25,1.610532497,0.1
108.5,1.619301121,0.1
108.75,1.310636818,0.1
109,1.269317831,0.1
109.25,1.643141077,0.1
109.5,1.477474682,0.1
109.75,1.512715701,0.1
110,1.486907184,0.1
110.25,1.545331544,0.1
110.5,1.314344927,0.1
110.75,1.617368657,0.1
111,1.554452766,0.1
111.25,1.592797454,0.1
111.5,1.404673002,0.1
111.75,1.409660918,0.1
112,1.316213205,0.1
112.25,1.406117478,0.1
112.5,1.591031938,0.1
112.75,1.390198395,0.1
113,1.410310151,0.1
113.25,1.394309807,0.1
113.5,1.275245048,0.1
113.75,1.585510295,0.1
114,1.39646293,0.1
114.25,1.412329695,0.1
114.5,1.525950899,0.1
114.75,1.327738825,0.1
115,1.564234403,0.1
115.25,1.330602225,0.1
115.5,1.207214796,0.1
115.75,1.135977937,0.1
116,1.363289575,0.1
116.25,1.456918092,0.1
116.5,1.333725508,0.1
116.75,1.211254354,0.1
117,1.28694805,0.1
117.25,1.192870219,0.1
117.5,1.462926498,0.1
117.75,1.424347638,0.1
118,1.388032109,0.1
118.25,0.909759137,0.1
118.5,1.462039267,0.1
118.75,1.481504573,0.1
119,1.108462431,0.1
119.25,1.358618029,0.1
119.5,1.251942794,0.1
119.75,1.178865559,0.1
120,1.420380429,0.1
120.25,1.224210417,0.1
120.5,1.464312072,0.1
120.75,1.09942477,0.1
121,1.36257949,0.1
121.25,1.27031516,0.1
121.5,1.260099758,0.1
121.75,1.345062632,0.1
122,1.500758874,0.1
122.25,1.333859091,0.1
122.5,1.144565302,0.1
122.75,1.215800705,0.1
123,1.410593441,0.1
123.25,1.386761358,0.1
123.5,1.247773015,0.1
123.75,1.19511333,0.1
124,1.07405339,0.1
124.25,1.191219947,0.1
124.5,1.20333118,0.1
124.75,1.117567919,0.1
125,1.151080395,0.1
125.25,1.122241841,0.1
125.5,1.17446644,0.1
125.75,0.853041378,0.1
126,1.054539547,0.1
126.25,1.261983595,0.1
126.5,1.300745657,0.1
126.75,0.81590899,0.1
127,0.947991376,0.1
127.25,1.316750098,0.1
127.5,0.897510658,0.1
127.75,1.102291544,0.1
128,1.13129295,0.1
128.25,1.091820985,0.1
128.5,1.25787644,0.1
128.75,1.053987671,0.1
129,1.055496435,0.1
129.25,1.187367111,0.1
129.5,1.073928809,0.1
129.75,1.252190067,0.1
130,1.251262983,0.1
130.25,1.056487868,0.1
130.5,1.218952023,0.1
130.75,1.199368966,0.1
131,1.096839331,0.1
131.25,1.174330298,0.1
131.5,1.013790699,0.1
131.75,1.151735572,0.1
132,1.094721311,0.1
132.25,0.923415057,0.1
132.5,1.002222667,0.1
132.75,1.026399544,0.1
133,1.159071184,0.1
133.25,1.171950903,0.1
133.5,1.052285925,0.1
133.75,0.858096314,0.1
