t,Ca,x
88,1.929913767,0.1
88.25,1.982800383,0.1
88.5,2.027622739,0.1
88.75,1.770604912,0.1
89,1.79513972,0.1
89.25,1.947570528,0.1
89.5,1.968471829,0.1
89.75,1.781056455,0.1
90,1.834617009,0.1
90.25,1.667829204,0.1
90.5,1.803283374,0.1
90.75,1.51914323,0.1
91,1.80317307,0.1
91.25,1.765995042,0.1
91.5,1.670847293,0.1
91.75,1.484876097,0.1
92,1.546586181,0.1
92.25,1.830157384,0.1
92.5,1.417557896,0.1
92.75,1.487835837,0.1
93,1.59358905,0.1
93.25,1.483495406,0.1
93.5,1.611244105,0.1
93.75,1.688569028,0.1
94,1.454806375,0.1
94.25,1.741061621,0.1
94.5,1.478267898,0.1
94.75,1.637193192,0.1
95,1.419545131,0.1
95.25,1.432114172,0.1
95.5,1.329569911,0.1
95.75,1.307668994,0.1
96,1.216081335,0.1
96.25,1.318739174,0.1
96.5,1.212422381,0.1
96.75,1.387144009,0.1
97,1.252488579,0.1
97.25,1.240292765,0.1
97.5,1.428092769,0.1
97.75,1.098476903,0.1
98,1.274755069,0.1
98.25,1.320487328,0.1
98.5,1.280393392,0.1
98.75,1.136502588,0.1
99,1.137691859,0.1
99.25,1.174184137,0.1
99.5,0.992539374,0.1
99.75,1.073403913,0.1
100,1.199842974,0.1
100.25,1.059324525,0.1
100.5,1.151366044,0.1
100.75,1.142733716,0.1
101,1.035702131,0.1
101.25,1.006102231,0.1
101.5,1.168088162,0.1
101.75,1.110157574,0.1
102,1.124047226,0.1
102.25,1.121159162,0.1
102.5,0.997870098,0.1
102.75,1.000713939,0.1
103,0.897362669,0.1
103.25,0.861842344,0.1
103.5,1.041170495,0.1
103.75,0.966039824,0.1
104,0.903633832,0.1
104.25,0.883476709,0.1
104.5,0.837012514,0.1
104.75,0.689323438,0.1
105,0.865274496,0.1
105.25,0.79743511,0.1
105.5,0.871154818,0.1
105.75,1.054227025,0.1
106,1.02822415,0.1
106.25,0.712439184,0.1
106.5,0.956032483,0.1
106.75,0.793448982,0.1
107,0.69449052,0.1
107.25,0.78822567,0.1
107.5,0.785032168,0.1
107.75,0.807394185,0.1
108,0.698083099,0.1
108.25,0.633879568,0.1
108.5,0.775423941,0.1
108.75,0.849342605,0.1
109,0.595337989,0.1
109.25,0.663706464,0.1
109.5,0.6673854,0.1
109.75,0.870048104,0.1
110,0.797180395,0.1
110.25,0.828936807,0.1
110.5,0.583619695,0.1
110.75,0.60938553,0.1
111,0.984360324,0.1
111.25,0.540693118,0.1
111.5,0.627042727,0.1
111.75,0.758476801,0.1
112,0.777046438,0.1
112.25,0.738165204,0.1
112.5,0.555426797,0.1
112.75,0.743788382,0.1
113,0.552483244,0.1
113.25,0.512213599,0.1
113.5,0.497393653,0.1
113.75,0.779001201,0.1
114,0.477277503,0.1
114.25,0.536477541,0.1
114.5,0.646500188,0.1
114.75,0.913793896,0.1
115,0.607411104,0.1
115.25,0.519294043,0.1
115.5,0.605949665,0.1
115.75,0.700252674,0.1
116,0.42774819,0.1
116.25,0.521663844,0.1
116.5,0.503185768,0.1
116.75,0.529438805,0.1
117,0.616412996,0.1
117.25,0.622244012,0.1
117.5,0.552872823,0.1
117.75,0.519022355,0.1
118,0.452984651,0.1
118.25,0.581961089,0.1
118.5,0.422266023,0.1
118.75,0.672048782,0.1
119,0.514692994,0.1
